@relation 'dataset-weka.filters.unsupervised.attribute.AddValues-C10-L6,7-weka.filters.unsupervised.attribute.AddValues-C11-L6,7,8-weka.filters.unsupervised.attribute.AddValues-C12-L6,7,8-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C15-L1-5-V-H'

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7}
@attribute outputs-2 {0,1,2,3,4,5,6,7,8}
@attribute outputs-3 {0,1,2,3,4,5,6,7,8}
@attribute outputs-4 {0,1,2,3,4,5}
@attribute outputs-5 {0,1,2,3,4,5}
@attribute outputs-6 {0,1,2,3,4}

@data
69,'2018/10/08 17:04:31:409',2,-0.066667,0.772549,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
70,'2018/10/08 17:04:31:439',2,-0.07451,0.764706,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
71,'2018/10/08 17:04:31:472',2,-0.066667,0.764706,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
72,'2018/10/08 17:04:31:507',2,-0.066667,0.764706,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
73,'2018/10/08 17:04:31:539',2,-0.066667,0.764706,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
74,'2018/10/08 17:04:31:572',2,-0.066667,0.764706,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
75,'2018/10/08 17:04:31:607',2,-0.066667,0.764706,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
76,'2018/10/08 17:04:31:638',2,-0.066667,0.764706,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
77,'2018/10/08 17:04:31:673',2,-0.066667,0.764706,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
78,'2018/10/08 17:04:31:708',2,-0.066667,0.764706,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
79,'2018/10/08 17:04:31:742',2,-0.066667,0.764706,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
80,'2018/10/08 17:04:31:773',2,-0.066667,0.764706,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
81,'2018/10/08 17:04:31:805',2,-0.066667,0.764706,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
82,'2018/10/08 17:04:31:841',2,-0.066667,0.764706,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
